Ilocos Norte,PH01028,Region I (Ilocos Region)
Ilocos Sur,PH01029,Region I (Ilocos Region)
La Union,PH01033,Region I (Ilocos Region)
Pangasinan,PH01055,Region I (Ilocos Region)
Batanes,PH02009,Region II (Cagayan Valley)
Cagayan,PH02015,Region II (Cagayan Valley)
Isabela,PH02031,Region II (Cagayan Valley)
Nueva Vizcaya,PH02050,Region II (Cagayan Valley)
Quirino,PH02057,Region II (Cagayan Valley)
Bataan,PH03008,Region III (Central Luzon)
Bulacan,PH03014,Region III (Central Luzon)
Nueva Ecija,PH03049,Region III (Central Luzon)
Pampanga,PH03054,Region III (Central Luzon)
Tarlac,PH03069,Region III (Central Luzon)
Zambales,PH03071,Region III (Central Luzon)
Aurora,PH03077,Region III (Central Luzon)
Batangas,PH04010,Region IV-A (Calabarzon)
Cavite,PH04021,Region IV-A (Calabarzon)
Laguna,PH04034,Region IV-A (Calabarzon)
Quezon,PH04056,Region IV-A (Calabarzon)
Rizal,PH04058,Region IV-A (Calabarzon)
Albay,PH05005,Region V (Bicol Region)
Camarines Norte,PH05016,Region V (Bicol Region)
Camarines Sur,PH05017,Region V (Bicol Region)
Catanduanes,PH05020,Region V (Bicol Region)
Masbate,PH05041,Region V (Bicol Region)
Sorsogon,PH05062,Region V (Bicol Region)
Aklan,PH06004,Region VI (Western Visayas)
Antique,PH06006,Region VI (Western Visayas)
Capiz,PH06019,Region VI (Western Visayas)
Iloilo,PH06030,Region VI (Western Visayas)
Negros Occidental,PH06045,Region VI (Western Visayas)
Guimaras,PH06079,Region VI (Western Visayas)
Bohol,PH07012,Region VII (Central Visayas)
Cebu,PH07022,Region VII (Central Visayas)
Negros Oriental,PH07046,Region VII (Central Visayas)
Siquijor,PH07061,Region VII (Central Visayas)
Eastern Samar,PH08026,Region VIII (Eastern Visayas)
Leyte,PH08037,Region VIII (Eastern Visayas)
Northern Samar,PH08048,Region VIII (Eastern Visayas)
Samar (Western Samar),PH08060,Region VIII (Eastern Visayas)
Southern Leyte,PH08064,Region VIII (Eastern Visayas)
Biliran,PH08078,Region VIII (Eastern Visayas)
Zamboanga del Norte,PH09072,Region IX (Zamboanga Peninsula)
Zamboanga del Sur,PH09073,Region IX (Zamboanga Peninsula)
Zamboanga Sibugay,PH09083,Region IX (Zamboanga Peninsula)
City of Isabela (not a province),PH09097,Region IX (Zamboanga Peninsula)
Bukidnon,PH10013,Region X (Northern Mindanao)
Camiguin,PH10018,Region X (Northern Mindanao)
Lanao del Norte,PH10035,Region X (Northern Mindanao)
Misamis Occidental,PH10042,Region X (Northern Mindanao)
Misamis Oriental,PH10043,Region X (Northern Mindanao)
Davao del Norte,PH11023,Region XI (Davao Region)
Davao del Sur,PH11024,Region XI (Davao Region)
Davao Oriental,PH11025,Region XI (Davao Region)
Davao de Oro (Compostela Valley),PH11082,Region XI (Davao Region)
Davao Occidental,PH11086,Region XI (Davao Region)
Cotabato (North Cotabato),PH12047,Region XII (Soccsksargen)
South Cotabato,PH12063,Region XII (Soccsksargen)
Sultan Kudarat,PH12065,Region XII (Soccsksargen)
Sarangani,PH12080,Region XII (Soccsksargen)
Metropolitan Manila First District,PH13039,National Capital Region (NCR)
Metropolitan Manila Second District,PH13074,National Capital Region (NCR)
Metropolitan Manila Third District,PH13075,National Capital Region (NCR)
Metropolitan Manila Fourth District,PH13076,National Capital Region (NCR)
Abra,PH14001,Cordillera Administrative Region (CAR)
Benguet,PH14011,Cordillera Administrative Region (CAR)
Ifugao,PH14027,Cordillera Administrative Region (CAR)
Kalinga,PH14032,Cordillera Administrative Region (CAR)
Mountain Province,PH14044,Cordillera Administrative Region (CAR)
Apayao,PH14081,Cordillera Administrative Region (CAR)
Agusan del Norte,PH16002,Region XIII (Caraga)
Agusan del Sur,PH16003,Region XIII (Caraga)
Surigao del Norte,PH16067,Region XIII (Caraga)
Surigao del Sur,PH16068,Region XIII (Caraga)
Dinagat Islands,PH16085,Region XIII (Caraga)
Marinduque,PH17040,Mimaropa Region
Occidental Mindoro,PH17051,Mimaropa Region
Oriental Mindoro,PH17052,Mimaropa Region
Palawan,PH17053,Mimaropa Region
Romblon,PH17059,Mimaropa Region
Basilan,PH19007,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Lanao del Sur,PH19036,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Sulu,PH19066,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Tawi-Tawi,PH19070,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Maguindanao del Norte,PH19087,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Maguindanao del Sur,PH19088,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
Special Geographic Area,PH19099,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
